,object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
1826,296390,358.636353,-46.768478,328.890146,-67.388837,1,0.1783,0.2265,0.0176,40.2594,0.008,42
1832,298019,349.891296,-64.573555,317.972107,-49.786192,1,0.0,0.0,0.0,,0.023,16
1833,298132,0.574468,-45.98114,327.041068,-68.778764,1,0.4699,0.462,0.54,42.056,0.006,62
1834,298585,1.708861,-45.586655,325.688716,-69.520253,1,0.6112,0.5919,0.0203,42.7031,0.011,88
1836,298802,2.457983,-45.389202,324.632685,-69.945696,1,0.3065,0.3451,0.0392,41.3083,0.011,62
1842,299747,150.117188,2.836105,236.124718,42.483719,1,0.341,0.3193,0.1173,41.1123,0.016,42
1843,299781,151.523438,3.134927,236.900695,43.80317,1,0.2314,0.2446,0.0099,40.4487,0.019,42
1847,300684,2.07113,-45.191612,325.606223,-69.989264,1,0.0,0.0,0.0,,0.011,16
1849,300965,34.804688,-5.829153,171.307861,-60.174401,1,0.0797,0.1216,0.0269,38.7712,0.023,42
1858,302142,52.910156,-26.276812,220.926149,-54.363918,1,0.0,0.0,0.0,,0.008,16
1859,302209,349.615387,-63.636005,318.927246,-50.506542,1,0.1656,0.1869,1.1849,39.793,0.018,42
1860,302382,150.117188,2.238686,236.784618,42.139082,1,0.3738,0.3802,0.0192,41.5545,0.016,42
1866,303071,32.871094,-4.780192,166.959493,-60.615132,1,0.1938,2.8694,0.7485,46.9097,0.017,42
1868,303200,53.261719,-27.615883,223.280041,-54.281374,1,0.2581,0.2688,0.0138,40.6821,0.006,42
1871,304176,348.908447,-63.823658,319.169886,-50.176186,1,0.3692,0.4573,0.0351,42.0296,0.018,42
1881,305218,347.013428,-62.508568,321.472056,-50.73533,1,0.14,0.1237,0.0109,38.8107,0.018,62
1885,305919,0.574468,-45.98114,327.041068,-68.778764,1,0.255,0.2717,0.0086,40.7084,0.006,42
1888,306095,33.574219,-5.379379,168.83809,-60.637536,1,0.2095,1.4678,0.2751,45.131,0.017,62
1889,306224,349.891296,-64.573555,317.972107,-49.786192,1,0.5116,0.5255,0.0182,42.3908,0.023,62
1892,306548,53.261719,-27.615883,223.280041,-54.281374,1,0.1542,0.1776,0.6519,39.6692,0.006,42
1894,307546,52.207031,-28.630989,224.800211,-55.343637,1,0.1581,0.1579,0.0064,39.3876,0.009,62
1898,308282,349.429535,-62.508568,320.039643,-51.393745,1,0.0,0.0,0.0,,0.02,16
1900,309058,52.910156,-27.953188,223.774083,-54.639214,1,0.2382,0.308,1.2258,41.0214,0.007,42
1901,309268,148.886719,2.686724,235.347248,41.389003,1,0.2022,0.4787,0.301,42.1478,0.028,42
1907,310143,52.03125,-26.443335,220.963669,-55.168557,1,0.0,0.0,0.0,,0.014,16
1908,310353,347.013428,-62.508568,321.472056,-50.73533,1,0.2299,0.2254,0.0109,40.2473,0.018,42
1912,310925,151.523438,3.134927,236.900695,43.80317,1,0.1434,0.1585,0.0577,39.3973,0.019,42
1914,310975,35.859375,-4.630479,171.270769,-58.580806,1,0.1741,0.1761,0.0072,39.6489,0.022,42
1917,311432,347.861847,-61.943836,321.519104,-51.424048,1,0.0822,0.09,0.0109,38.0716,0.017,42
1921,312228,148.710938,2.836105,235.050801,41.328739,1,0.4508,0.4384,0.0216,41.92,0.031,62
1922,312334,52.910156,-25.944481,220.36635,-54.301439,1,0.3442,0.3728,0.0285,41.5044,0.01,42
1923,312453,359.415588,-46.768478,327.729895,-67.686097,1,0.104,0.0702,0.0136,37.5029,0.009,42
1925,312681,53.613281,-28.630989,225.073365,-54.119461,1,0.0,0.0,0.0,,0.006,16
1927,312787,150.996094,4.181528,235.291975,43.970869,1,0.0,0.0,0.0,,0.015,16
1933,313361,359.058563,-45.191612,330.695783,-68.844915,1,0.2325,0.2597,0.0511,40.5967,0.011,42
1937,313707,347.013428,-62.508568,321.472056,-50.73533,1,0.1225,0.1002,0.0154,38.3188,0.018,62
1941,314451,349.429535,-62.508568,320.039643,-51.393745,1,0.5285,0.513,0.0128,42.3282,0.02,88
1943,314959,151.171875,2.238686,237.619933,42.994783,1,0.106,2.4289,0.5253,46.4717,0.024,42
1944,315142,0.58952,-47.161343,325.385896,-67.769893,1,0.1143,2.4801,1.1156,46.5267,0.009,42
1949,316154,34.101562,-5.829153,170.247753,-60.638325,1,0.0,0.0,0.0,,0.019,16
1950,316306,52.910156,-26.276812,220.926149,-54.363918,1,0.4201,0.4252,0.0288,41.8412,0.008,42
1951,316336,52.558594,-27.279613,222.538937,-54.845107,1,0.1392,0.1297,0.1914,38.923,0.008,42
1952,316619,1.708861,-45.586655,325.688716,-69.520253,1,0.0,0.0,0.0,,0.011,16
1955,316902,1.666667,-44.399834,327.51919,-70.529554,1,0.4088,0.4924,0.1047,42.2212,0.009,42
1963,318155,33.574219,-5.379379,168.83809,-60.637536,1,0.0,0.0,0.0,,0.017,16
1970,319554,359.811707,-45.191612,329.485675,-69.150905,1,0.1367,0.156,0.0142,39.3592,0.01,62
1973,319901,150.117188,3.732834,235.120533,42.993809,1,0.1417,0.1409,0.0164,39.1178,0.02,42
1974,320018,53.613281,-26.944359,222.237403,-53.863858,1,0.3692,0.3983,0.6094,41.6735,0.009,42
1975,320141,349.046051,-61.943836,320.79653,-51.753706,1,3.3774,2.7566,1.0185,46.8046,0.017,88
1976,320200,148.886719,2.686724,235.347248,41.389003,1,0.1498,0.168,0.012,39.5355,0.028,42
1977,320467,349.046051,-61.943836,320.79653,-51.753706,1,0.1927,2.5995,1.1849,46.6505,0.017,42
1978,320622,33.222656,-4.780192,167.515653,-60.396584,1,0.0,0.0,0.0,,0.018,16
1979,320656,53.964844,-28.630989,225.14295,-53.813613,1,0.282,0.3082,0.0288,41.0234,0.009,88
1980,320789,51.855469,-27.953188,223.543603,-55.56147,1,1.2542,1.4526,0.2908,45.103,0.008,88
1982,321283,33.398438,-3.732834,166.49228,-59.466614,1,0.0,0.0,0.0,,0.022,16
1987,323163,32.695312,-4.929937,166.868469,-60.84123,1,0.0,0.0,0.0,,0.018,16
1989,324013,346.5625,-63.448284,320.82472,-49.866957,1,0.1444,0.1273,0.1293,38.8783,0.021,42
1991,324169,349.160583,-64.760857,318.219706,-49.458924,1,0.3755,0.3816,0.0284,41.5638,0.02,62
1993,324273,52.03125,-26.443335,220.963669,-55.168557,1,0.4981,0.4853,0.0353,42.1835,0.014,42
1994,324837,149.414062,1.940072,236.565366,41.393323,1,2.5157,2.4825,0.3119,46.5293,0.018,88
1998,325297,359.811707,-45.191612,329.485675,-69.150905,1,0.4553,0.3875,0.4954,41.6031,0.01,42
2001,325806,149.414062,3.433834,234.919132,42.24555,1,0.2422,0.2037,0.0125,40.0009,0.027,62
2003,325974,150.996094,2.985506,236.647967,43.28735,1,0.0,0.0,0.0,,0.02,16
2004,326154,347.013428,-62.508568,321.472056,-50.73533,1,0.0549,0.0561,0.015,36.9953,0.018,42
2009,326736,33.574219,-6.579593,170.455585,-61.548219,1,0.2948,0.2986,0.0108,40.9439,0.021,88
2011,327691,346.655182,-63.260487,320.952196,-50.040935,1,0.1897,0.2209,0.1933,40.1982,0.019,42
2013,328060,34.980469,-6.279288,172.180075,-60.389399,1,0.2843,0.2809,0.0084,40.791,0.023,62
2018,329089,0.574468,-45.98114,327.041068,-68.778764,1,0.1016,0.092,0.0072,38.1233,0.006,42
2020,329277,349.285706,-62.884678,319.786163,-51.046461,1,0.1103,0.1112,0.014,38.5625,0.018,42
2021,329326,54.667969,-27.615883,223.610785,-53.05084,1,0.5637,0.579,0.0295,42.6452,0.009,88
2024,329568,150.996094,4.181528,235.291975,43.970869,1,0.0,0.0,0.0,,0.015,16
2026,329826,351.321442,-64.198746,317.458993,-50.429931,1,0.0,0.0,0.0,,0.023,16
2028,329854,349.429535,-62.508568,320.039643,-51.393745,1,0.0,0.0,0.0,,0.02,16
2029,329928,350.230255,-61.943836,320.053946,-52.070537,1,0.1338,0.1368,0.1245,39.0477,0.017,42
2030,330252,351.259003,-64.386185,317.34486,-50.255113,1,0.3232,0.5529,0.4066,42.5241,0.02,42
2032,330311,348.908447,-63.823658,319.169886,-50.176186,1,0.0,0.0,0.0,,0.018,16
2033,330517,349.160583,-64.760857,318.219706,-49.458924,1,0.0,0.0,0.0,,0.02,16
2037,330845,358.648071,-46.37508,329.462659,-67.716008,1,0.105,0.0987,0.017,38.2839,0.009,42
2039,331174,152.050781,3.284369,237.157374,44.318466,1,0.0,0.0,0.0,,0.019,16
2043,331538,52.910156,-26.276812,220.926149,-54.363918,1,0.1728,0.2232,0.0608,40.223,0.008,62
2048,332245,150.820312,1.64151,237.994507,42.358984,1,0.0,0.0,0.0,,0.02,16
2049,332443,52.207031,-28.29155,224.208534,-55.300157,1,0.1701,0.191,0.0762,39.8444,0.007,42
2052,332613,351.73468,-62.884678,318.284128,-51.651217,1,0.147,2.6774,0.1024,46.7281,0.019,62
2055,332907,52.910156,-26.276812,220.926149,-54.363918,1,0.0992,2.4022,0.9097,46.4425,0.008,42
2056,332985,1.694561,-45.191612,326.278557,-69.858253,1,0.1189,0.3057,0.9559,41.0024,0.011,42
2060,333741,359.811707,-45.191612,329.485675,-69.150905,1,0.1101,0.1585,0.0251,39.3973,0.01,42
2061,334014,347.013428,-62.508568,321.472056,-50.73533,1,0.2563,0.2722,0.0293,40.7132,0.018,62
2064,334749,351.73468,-62.884678,318.284128,-51.651217,1,0.2162,0.2826,0.0192,40.8063,0.019,42
2065,334851,349.966217,-62.696659,319.542989,-51.376556,1,0.8507,0.7908,0.0335,43.4717,0.021,42
2066,335148,149.414062,1.940072,236.565366,41.393323,1,0.2619,0.4664,0.0659,42.0807,0.018,42
2070,335624,53.261719,-27.615883,223.280041,-54.281374,1,0.7529,0.7873,0.0277,43.4599,0.006,88
2071,335625,53.261719,-27.615883,223.280041,-54.281374,1,0.3167,0.3285,0.0108,41.1833,0.006,62
2073,335815,151.171875,2.537361,237.288526,43.169764,1,1.3712,1.4831,0.0673,45.1587,0.024,88
2076,336215,348.908447,-63.823658,319.169886,-50.176186,1,0.23,0.2545,0.0508,40.5462,0.018,42
2080,337060,53.789062,-27.784405,223.685697,-53.845803,1,1.1429,1.2781,0.1177,44.7594,0.009,88
2086,337575,0.189873,-45.586655,328.254458,-68.969298,1,0.3396,0.3604,0.4871,41.4185,0.007,62
2087,337635,150.46875,1.64151,237.714575,42.075234,1,0.1738,0.1914,0.1704,39.8502,0.017,42
2089,337756,351.953644,-62.132156,318.777388,-52.347124,1,0.0664,2.5616,1.1015,46.6118,0.019,62
2096,339282,148.710938,2.836105,235.050801,41.328739,1,0.2252,0.216,0.01,40.1438,0.031,42
2097,339705,352.132874,-63.636005,317.424173,-51.095855,1,0.2132,0.2123,0.0069,40.101,0.021,42
2101,340269,349.966217,-62.696659,319.542989,-51.376556,1,0.2014,0.1894,0.1427,39.8249,0.021,62
2110,341653,347.8125,-63.448284,320.128971,-50.202348,1,0.1568,0.153,0.7613,39.3135,0.021,42
2114,342819,359.805206,-46.768478,327.135979,-67.829903,1,0.0,0.0,0.0,,0.011,16
2118,1107992,310.078125,-20.902014,24.531144,-32.885543,0,0.1426,0.0502,0.0372,36.7429,0.035,42
2122,1150736,158.027344,-16.334824,260.966474,34.945322,0,0.095,0.1054,0.0144,38.4362,0.063,42
2125,1215304,290.039062,-15.868921,21.75658,-13.395677,0,0.0,0.0,0.0,,0.13,16
2128,1231534,44.472656,-9.291553,188.086335,-55.245046,0,0.1223,0.1176,0.0207,38.6919,0.04,42
2129,1237057,181.933594,0.596842,279.553277,61.468883,0,0.1784,0.2003,0.0198,39.9599,0.021,42
2131,1288208,172.720581,-52.029728,290.55111,8.894978,0,0.0,0.0,0.0,,0.184,16
2132,1306267,239.589844,-1.492246,8.178329,36.722884,0,0.0682,0.0456,0.1716,36.5267,0.111,42
2134,1366732,193.183594,-20.74238,303.340623,42.128339,0,0.1174,0.0875,0.0125,38.0071,0.051,42
2136,1415987,124.628906,-18.209957,239.376145,9.848658,0,0.0,0.0,0.0,,0.099,16
2145,1594469,214.101562,1.044512,344.483305,56.897492,0,0.1066,0.0904,0.0136,38.0827,0.03,42
2148,1634735,17.226562,-9.442778,136.877754,-71.839951,0,0.1432,0.2359,0.0745,40.3589,0.043,62
2149,1658030,43.066406,-5.67919,181.660456,-54.143663,0,1.6647,1.7836,0.2045,45.6522,0.036,88
2150,1744454,145.722656,-1.790785,237.688383,36.218711,0,0.4762,0.5367,0.4194,42.4464,0.023,42
2151,1797009,314.296875,-34.772018,8.919951,-39.892579,0,0.3352,0.3348,0.8777,41.2318,0.068,42
2154,1879121,136.054688,-14.015684,242.346867,21.242918,0,0.0706,0.0702,0.0456,37.5015,0.057,62
2155,1904697,229.766953,-45.783966,328.078232,9.756582,0,0.0,0.0,0.0,,0.234,16
2157,1950799,222.011719,-30.691587,330.666691,25.825918,0,0.3133,0.2937,0.021,40.9027,0.112,42
2158,1952799,190.019531,-32.089951,300.133168,30.720057,0,0.0,0.0,0.0,,0.073,16
2166,2110685,216.914062,-27.11186,327.983947,31.037139,0,0.0,0.0,0.0,,0.067,16
2168,2204069,161.191406,-2.388015,251.936543,47.545626,0,2.3858,1.702,0.1565,45.5272,0.046,88
2174,2334527,89.296875,-34.772018,240.660118,-25.562325,0,0.1051,2.4647,1.1456,46.5103,0.034,42
2175,2352593,120.058594,-7.180756,227.426661,11.776906,0,0.0,0.0,0.0,,0.066,16
2177,2379457,333.542725,-52.99461,340.354452,-51.129532,0,0.2901,0.3015,0.0173,40.9683,0.019,88
2182,2580406,123.398438,-24.132875,243.753435,5.654286,0,0.0,0.0,0.0,,0.14,16
2183,2585803,30.585938,-17.113819,185.165407,-70.800494,0,0.6098,0.6138,0.0689,42.7991,0.023,88
2184,2593456,316.933594,-41.810314,359.80344,-42.504285,0,0.1053,0.0976,0.01,38.2595,0.029,42
2186,2698409,60.413387,-42.210369,247.028691,-48.698407,0,0.0,0.0,0.0,,0.006,16
2187,2776284,94.9422,-57.970295,266.863181,-26.845581,0,0.0,0.0,0.0,,0.042,16
2188,2779844,354.726562,-4.630479,82.186918,-61.622981,0,0.6832,0.6883,0.0102,43.102,0.029,88
2189,2814577,153.984375,-36.238361,271.00533,16.815543,0,0.1657,2.1213,0.5673,46.1135,0.094,42
2192,2902700,129.550781,-21.061817,244.434557,12.074975,0,0.0,0.0,0.0,,0.093,16
2193,2924299,40.078125,-21.863451,206.894181,-64.731727,0,0.7889,0.8192,0.0209,43.5658,0.022,42
2194,2939083,248.584335,-59.29895,328.137258,-7.826633,0,0.0,0.0,0.0,,0.242,16
2197,3038674,114.257812,-22.831406,238.300274,-0.849417,0,0.0,0.0,0.0,,0.629,16
2199,3112287,213.222656,-37.92165,320.178752,22.206977,0,1.6113,1.6175,0.1509,45.3909,0.054,88
2202,3219576,3.867187,-27.447618,28.583472,-82.003793,0,0.2114,0.208,0.0153,40.0517,0.018,62
2204,3311525,55.722656,-29.656013,227.161864,-52.420811,0,0.0,0.0,0.0,,0.012,16
2206,3363402,314.013153,-47.357574,352.446893,-40.339794,0,0.1145,2.589,1.1637,46.6398,0.03,42
2207,3364366,216.914062,-5.829153,341.716272,49.657304,0,0.1922,0.1952,0.0151,39.8975,0.041,42
2209,3412167,101.25,-34.048595,243.422715,-16.022517,0,0.0,0.0,0.0,,0.078,16
2210,3419558,98.789062,-37.356377,245.901122,-19.080291,0,0.0,0.0,0.0,,0.097,16
2212,3460976,163.455887,-52.029728,285.223522,6.751632,0,0.0,0.0,0.0,,0.396,16
2213,3478374,59.927883,-51.255806,260.415133,-47.309418,0,0.0,0.0,0.0,,0.01,16
2214,3554964,206.894531,-26.276812,318.309695,34.912934,0,0.2694,0.2562,0.1396,40.5627,0.05,42
2217,3573621,111.955643,-43.406857,255.717678,-12.188169,0,0.1174,2.3163,0.7672,46.3464,0.208,42
2223,3683797,43.59375,-40.033035,247.771983,-61.525816,0,0.2025,0.1957,0.2486,39.9032,0.017,88
2229,3754758,60.46875,-25.117701,221.389467,-47.462209,0,0.3339,0.3805,0.5642,41.5568,0.028,42
2230,3797431,191.25,-30.865255,301.303087,31.986131,0,0.6206,0.5408,0.1076,42.4663,0.06,88
2231,3810368,182.460938,-28.122234,291.880683,33.855364,0,0.0,0.0,0.0,,0.06,16
2232,3820580,129.375,-32.97485,254.045876,4.884207,0,0.1422,0.1591,0.0465,39.4068,0.206,42
2233,3829378,126.035156,-7.481631,230.798366,16.732368,0,0.0,0.0,0.0,,0.048,16
2236,3902206,335.382355,-58.540249,332.04095,-49.250478,0,0.2764,0.262,0.7121,40.6177,0.018,42
2237,3909174,97.382812,-27.447618,235.746751,-16.592281,0,0.0,0.0,0.0,,0.042,16
2238,3943958,91.40625,1.342993,206.446828,-9.554601,0,0.0,0.0,0.0,,0.364,16
2239,3945645,158.378906,-14.169522,259.623097,36.847845,0,0.0402,0.0339,0.0329,35.8667,0.066,62
2240,4037062,146.425781,-23.317957,256.856749,22.506081,0,0.0,0.0,0.0,,0.06,16
2243,4063882,99.84375,-36.238361,245.108808,-17.897685,0,0.1924,0.1869,0.0098,39.7928,0.09,42
2244,4086310,154.577927,-61.566963,285.734372,-3.918987,0,0.0446,0.0374,0.0149,36.0821,0.491,42
2245,4092696,142.03125,-18.367102,249.899671,22.944437,0,0.0,0.0,0.0,,0.052,16
2246,4123444,102.304688,-17.426323,228.305628,-8.324521,0,0.0532,0.0499,0.0248,36.7308,0.511,62
2247,4137934,357.363281,-39.450893,345.296064,-72.17194,0,0.6243,0.6495,0.0226,42.9484,0.011,88
2249,4175952,109.511719,-2.089372,217.839854,4.956868,0,0.0,0.0,0.0,,0.119,16
2254,4364990,251.894531,-25.613083,355.293341,12.462219,0,0.0,0.0,0.0,,0.287,16
2257,4402965,129.550781,-11.71976,236.484196,17.38627,0,1.715,2.0023,0.2477,45.9603,0.046,88
2262,4521595,135.0,-12.788582,240.63429,21.148868,0,0.1314,0.1834,1.1115,39.7474,0.053,62
2267,4546786,330.117188,-11.872187,45.215898,-47.176163,0,1.4116,1.6312,0.1096,45.4136,0.043,88
2268,4548783,78.574219,-8.385539,209.394717,-25.379925,0,0.0,0.0,0.0,,0.103,16
2269,4567028,110.214844,-13.86195,228.59041,0.078751,0,0.0,0.0,0.0,,0.589,16
2273,4718501,132.042252,-50.285809,268.919908,-4.214005,0,0.4708,0.3741,0.3054,41.5136,1.155,88
2275,4797347,285.644531,-19.78805,16.3167,-11.24822,0,0.0,0.0,0.0,,0.181,16
2276,4798690,177.79892,-55.873348,294.50303,6.009385,0,0.0,0.0,0.0,,0.397,16
2278,4811258,8.261719,1.790785,113.496237,-60.743589,0,0.0983,0.0936,0.0212,38.1628,0.019,62
2279,4814572,98.4375,1.64151,209.450167,-3.183226,0,0.0,0.0,0.0,,1.044,16
2282,4845925,174.375,-1.342993,267.963599,56.42413,0,0.0879,0.105,0.0127,38.429,0.016,42
2287,4966507,0.703125,-14.323464,78.991425,-72.900315,0,1.7712,1.7333,0.1494,45.5759,0.027,88
2289,4999074,140.976562,-10.04835,242.102422,27.475995,0,0.0,0.0,0.0,,0.036,16
2290,5018876,281.25,-31.213543,4.019677,-12.41116,0,0.1993,0.1911,0.01,39.8455,0.115,42
2295,5069783,229.921875,-40.817047,330.951622,13.852435,0,0.1658,0.1747,0.0136,39.6296,0.123,42
2296,5072263,282.480469,-22.669609,12.387936,-9.805925,0,0.0,0.0,0.0,,0.415,16
2297,5095468,267.539062,-9.442778,17.375202,9.041719,0,0.0,0.0,0.0,,0.726,16
2301,5119501,228.227097,-42.809296,328.752697,12.858995,0,0.2569,0.4807,0.2141,42.1587,0.104,42
2307,5222674,352.617188,-3.433834,80.191698,-59.41023,0,0.3438,0.316,0.0152,41.0863,0.044,62
2313,5415932,141.909454,-42.210369,267.575861,6.254172,0,0.146,0.1532,0.0148,39.3157,0.372,42
2314,5461609,66.013214,-47.55368,254.094485,-44.160291,0,0.2692,0.2424,0.0152,40.426,0.01,62
2315,5487304,136.054688,-26.110529,252.270053,13.701015,0,0.0,0.0,0.0,,0.155,16
2316,5487470,194.941406,-33.510056,304.923003,29.329495,0,0.1631,0.1716,1.1632,39.5872,0.058,42
2318,5515915,137.636719,0.895283,229.61625,30.977452,0,0.207,0.3325,0.2557,41.2141,0.026,62
2322,5648366,130.253906,-5.67919,231.503662,21.245332,0,0.1681,2.4607,1.1662,46.506,0.021,62
2323,5672712,167.871094,-10.503271,266.784812,45.238251,0,0.2779,0.3025,1.1394,40.9759,0.053,42
2325,5758088,27.597656,-37.544327,256.621682,-73.802041,0,0.1348,2.5593,0.4254,46.6095,0.017,42
2329,5811910,345.892853,-42.609806,350.657175,-63.188748,0,0.0935,0.1052,0.0152,38.4336,0.008,42
2330,5823700,214.277344,-11.71976,333.874494,45.941741,0,0.0,0.0,0.0,,0.056,16
2332,5855578,104.414062,-11.567418,223.944224,-3.886483,0,0.0,0.0,0.0,,1.071,16
2333,5884968,47.450497,-52.416012,266.916986,-53.92201,0,0.1324,0.1104,0.0124,38.545,0.017,62
2334,5888692,315.351562,-1.64151,47.5151,-29.403198,0,0.0,0.0,0.0,,0.074,16
2335,5893451,331.523438,-36.609226,7.165315,-53.934415,0,0.2769,0.2713,0.0087,40.7044,0.01,42
2338,5936751,130.78125,-5.229529,231.393135,21.92886,0,0.0,0.0,0.0,,0.021,16
2339,5947089,189.84375,-28.122234,299.697645,34.673748,0,0.0,0.0,0.0,,0.062,16
2340,5964309,340.903351,-45.389202,348.699193,-58.750748,0,0.0578,0.0877,0.0126,38.0115,0.009,62
2345,6103303,123.574219,-13.248015,234.557757,11.649756,0,0.0,0.0,0.0,,0.095,16
2347,6125178,157.675781,-36.423573,273.694314,18.334122,0,0.0,0.0,0.0,,0.06,16
2349,6180348,286.171875,-40.033035,357.082916,-19.431263,0,0.0,0.0,0.0,,0.104,16
2350,6211293,44.121094,-16.024099,198.435634,-58.990195,0,0.3764,0.408,0.0368,41.7354,0.034,42
2351,6231563,153.984375,-20.264481,260.375526,29.475544,0,0.0,0.0,0.0,,0.047,16
2352,6273384,311.132812,-40.423901,1.318667,-38.068509,0,0.0,0.0,0.0,,0.036,16
2354,6305009,292.885712,-57.58987,339.603923,-27.904814,0,0.3063,0.4073,0.1952,41.731,0.066,42
2357,6360352,219.375,-20.902014,333.765634,35.540888,0,0.0,0.0,0.0,,0.075,16
2361,6466200,168.574219,-31.03924,279.54972,27.384448,0,0.0,0.0,0.0,,0.051,16
2364,6556610,216.428574,-46.768478,319.263078,13.092048,0,0.0976,0.1039,0.0222,38.4035,0.11,42
2365,6591413,325.546875,-2.836105,52.761385,-38.699272,0,0.1844,0.1881,0.0144,39.8077,0.043,62
2368,6654394,307.94931,-49.507675,349.781935,-36.286896,0,0.2467,0.3181,0.9014,41.1023,0.028,62
2369,6660231,128.847656,2.089372,223.477404,23.97545,0,0.4812,0.4479,0.0274,41.9754,0.034,88
2372,6729351,281.854828,-55.490841,340.443241,-21.524946,0,0.1363,0.1538,0.0164,39.3251,0.065,42
2375,6777396,357.714844,-35.318771,356.842557,-74.704689,0,0.8848,0.7348,0.0713,43.2759,0.01,88
2380,6849093,71.191406,-20.74238,219.47775,-36.758984,0,0.1215,0.1156,0.0201,38.6521,0.033,42
2381,6852797,112.265625,-54.340912,266.052275,-16.600323,0,0.1026,0.0823,0.0125,37.8658,0.141,42
2384,6927138,355.253906,-2.388015,85.664745,-60.061865,0,0.1187,0.104,0.0127,38.4064,0.026,62
2389,7079540,64.207314,-43.804489,248.999261,-45.79195,0,0.1656,0.5731,0.6053,42.6183,0.014,42
2393,7122521,122.34375,-25.778666,244.617713,3.956879,0,0.2188,0.2029,0.0102,39.9907,0.173,42
2394,7154279,186.152344,-33.152889,296.488755,29.382991,0,0.2741,0.1127,0.7231,38.593,0.066,42
2396,7186711,314.375,-49.702389,349.35495,-40.440906,0,0.0,0.0,0.0,,0.033,16
2398,7189244,244.335938,-13.708317,0.29241,25.497276,0,0.2185,2.9734,1.2136,47.0028,0.244,62
2401,7224451,203.90625,-36.981888,312.65932,25.053828,0,0.3372,0.3687,0.3136,41.4761,0.05,62
2402,7233276,317.636719,-16.64604,32.512807,-38.096264,0,0.0918,0.0924,0.0143,38.132,0.067,62
2404,7284232,154.511719,-22.024313,262.086502,28.427888,0,0.5261,0.5229,0.0193,42.3782,0.044,88
2405,7285136,53.307693,-53.764561,266.138936,-50.18664,0,0.535,0.5279,0.0096,42.4028,0.012,88
2406,7289488,51.855469,-36.423573,238.594197,-55.823221,0,0.0572,0.0847,0.0296,37.931,0.011,42
2408,7310089,210.9375,-3.732834,335.196401,54.545093,0,0.0,0.0,0.0,,0.056,16
2412,7342827,339.082031,-12.635625,50.824959,-55.2444,0,0.2474,0.2614,0.0458,40.612,0.058,62
2417,7390884,18.28125,-6.729813,138.083877,-68.961152,0,0.1592,2.4015,1.0237,46.4417,0.091,42
2418,7412510,124.628906,-22.993395,243.419632,7.222859,0,0.0744,0.0679,0.012,37.4281,0.11,42
2421,7484291,353.496094,-23.317957,40.927412,-72.093399,0,0.2066,0.2162,0.0162,40.1453,0.02,62
2423,7512735,55.195312,-26.110529,221.305741,-52.319241,0,0.0,0.0,0.0,,0.009,16
2427,7544056,177.539062,-32.266235,288.155276,28.841025,0,0.3165,0.4884,0.4864,42.2002,0.056,42
2428,7550910,138.867188,-14.631667,244.673428,23.02092,0,0.0,0.0,0.0,,0.046,16
2431,7602456,307.96875,-34.409527,8.251434,-34.698472,0,0.1548,0.1515,1.103,39.2903,0.035,42
2432,7603574,345.269043,-48.336796,340.779538,-59.881718,0,0.4598,0.2671,0.1232,40.6659,0.009,42
2434,7627056,325.371094,2.985506,58.618115,-35.228228,0,0.0,0.0,0.0,,0.075,16
2438,7713926,355.957031,-15.094787,66.949101,-70.204284,0,0.2524,2.362,1.0881,46.398,0.023,42
2439,7779381,12.480469,-26.944359,61.423861,-89.615573,0,0.2214,0.2348,0.0071,40.3473,0.013,62
2441,7805020,50.273438,-27.11186,221.679696,-56.826662,0,0.0,0.0,0.0,,0.016,16
2443,7827268,116.367188,-11.872187,229.734053,6.293647,0,0.0469,0.0725,0.015,37.577,0.143,42
2446,7925528,223.59375,-20.264481,338.279263,34.035379,0,0.2165,0.5443,0.1226,42.4828,0.088,42
2447,7930361,284.0625,-22.185358,13.466654,-10.922643,0,0.0,0.0,0.0,,0.217,16
2448,7930383,27.672415,-57.780128,288.186006,-57.61954,0,0.0953,0.0704,0.0167,37.5098,0.02,42
2449,7956824,190.546875,-33.331287,300.711951,29.500584,0,0.22,0.2302,0.0053,40.2991,0.072,42
2451,8056979,196.699219,-13.86195,308.601114,48.840659,0,0.0,0.0,0.0,,0.044,16
2453,8096230,196.314743,-42.809296,305.628647,19.990071,0,0.0795,0.0938,0.0268,38.1676,0.075,42
2454,8146628,202.079437,-50.091457,308.972263,12.347259,0,0.0,0.0,0.0,,0.156,16
2455,8186606,232.910156,-2.388015,1.962893,41.427605,0,0.2859,0.2833,0.0108,40.8119,0.16,42
2456,8198259,64.863281,-22.669609,219.52095,-42.945348,0,0.0,0.0,0.0,,0.027,16
2461,8304144,338.027344,-22.669609,33.187641,-58.193523,0,0.0459,0.0379,0.0199,36.112,0.029,42
2462,8351755,284.880493,-42.809296,353.965002,-19.444534,0,0.2745,0.3034,0.0164,40.9836,0.074,62
2463,8366012,335.742188,-16.49037,42.353946,-54.088135,0,0.1433,0.1478,0.0141,39.2314,0.033,42
2465,8427624,245.588242,-61.75544,325.30933,-8.431902,0,0.0,0.0,0.0,,0.143,16
2466,8466724,3.688525,-56.064457,313.283921,-60.320404,0,0.256,0.2542,0.0075,40.5437,0.011,42
